"Using formulas (SUM, AVG,Concat) , basic formatting",,,,,,,,,,,
Sl no,Firstname,Last name,DOJ,Sal- Jan,Sal- Feb,Sal-Mar,Sal-Total,Avg Sal,Full name,,
,2466.777,2466.78,2467,2466,,,,,,,
,,,,,,,,,,,
,Autofill - just add first two columns and shift and drag till down,,,,,,,,,,
,January,Jan,Monday,Mon,1,,,,,,
,February,Feb,Tuesday,Tue,2,,,,,,
,March,Mar,Wednesday,Wed,3,,,,,,
,April,Apr,Thursday,Thu,4,,,,,,
,May,May,Friday,Fri,5,,,,,,
,June,Jun,Saturday,Sat,6,,,,,,
,July,Jul,Sunday,Sun,7,,,,,,
,August,Aug,,,8,,,,,,
,September,Sep,,,9,,,,,,
,October,Oct,,,10,,,,,,
,November,Nov,,,11,,,,,,
,December,Dec,,,12,,,,,,
,,,,,,,,,,,
,SORTING on multiple columns,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,Indu,F,14,8,agni,90,86,89,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,,,,,,,,,,,
,Filter based on gender,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Indu,F,14,8,agni,90,86,89,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Indu,F,14,8,agni,90,86,89,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Indu,F,14,8,agni,90,86,89,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,,,,,,,,,,,
,,,,,,,,,,,
,between 91 and 99,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,,,,,,,,,,,
,Create table by selecting ctrl T and add table design,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Indu,F,14,8,agni,90,86,89,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,,,,,,,,,,,
,Add slicer only after creating table,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Indu,F,14,8,agni,90,86,89,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Shapes or pictures,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Adding Hyperlink,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Indu,F,14,8,agni,90,86,89,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,,,,,,,,,,,
,Add drop down list-> data validation,,,,,,,,,,
,,,,Names,Grade,,,,,,
,,,,Arjun,A,,,,,,
,Grade,,,Madhav,B,,,,,,
,A,,,Indu ,B,,,,,,
,B,,,Gopal,C,,,,,,
,C,,,Vrinda,A,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Split or text to columns,,,,,,,,,,
,,,,,,,,,,,
,Email,Name,,,,,,,,,
,Arjun@mail.com,Arjun,mail.com,,,,,,,,
,Madhav@mail.com,Madhav,mail.com,,,,,,,,
,Indu@gmail.com,Indu,gmail.com,,,,,,,,
,Gopal@gmail.com,Gopal,gmail.com,,,,,,,,
,Keshav@gmail.com,Keshav,gmail.com,,,,,,,,
,champa@gmail.com,champa,gmail.com,,,,,,,,
,Abhimayu@gmail.com,Abhimayu,gmail.com,,,,,,,,
,Vrinda@mail.com,Vrinda,mail.com,,,,,,,,
,Gopi@mail.com,Gopi,mail.com,,,,,,,,
,Sudevi@mail.com,Sudevi,mail.com,,,,,,,,
,Vishaka@mail.com,Vishaka,mail.com,,,,,,,,
,Hari@mail.com,Hari,mail.com,,,,,,,,
,RNM@mail.com,RNM,mail.com,,,,,,,,
,Lalita@mail.com,Lalita,mail.com,,,,,,,,
,,,,,,,,,,,
,Charts in excel,,,,,,,,,,
,Names,Final Test,,,,,,,,,
,Abhimanyu,81,,,,,,,,,
,Arjun,91,,,,,,,,,
,Champa,88,,,,,,,,,
,Gopal,79,,,,,,,,,
,Gopi,96,,,,,,,,,
,Hari,80,,,,,,,,,
,Indu,89,,,,,,,,,
,Keshav,96,,,,,,,,,
,Lalita,92,,,,,,,,,
,Hari,95,,,,,,,,,
,Madhav,89,,,,,,,,,
,Sudevi,87,,,,,,,,,
,Vidya,92,,,,,,,,,
,Visakha,85,,,,,,,,,
,Vrinda,98,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Vlookup,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,Name,Final Test
,Abhimanyu,M,16,10,Bhumi,84,79,81,,Vrinda,98
,Arjun,M,11,5,agni,82,83,91,,Gopi,96
,Champa,F,15,8,aayu,81,78,88,,Madhav,89
,Gopal,M,14,8,pruthvi,70,75,79,,Hari,80
,Gopi,F,16,10,pruthvi,88,92,96,,Abhimanyu,81
,Hari,M,16,10,aayu,82,81,80,,,
,Indu,F,14,8,agni,90,86,89,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,,,,,,,,,,,
,When to use pivot tables,,,,,,,,,,
,Name,Gender,Age,Class,Home,Unit Test 1,Unit Test 2,Final Test,,,
,Abhimanyu,M,16,10,Bhumi,84,79,81,,,
,Arjun,M,11,5,agni,82,83,91,,,
,Champa,F,15,8,aayu,81,78,88,,,
,Gopal,M,14,8,pruthvi,70,75,79,,,
,Gopi,F,16,10,pruthvi,88,92,96,,,
,Hari,M,16,10,aayu,82,81,80,,,
,Indu,F,14,8,agni,90,86,89,,,
,Keshav,M,15,9,agni,87,89,96,,,
,Lalita,F,17,10,aayu,70,90,92,,,
,Hari,M,11,6,Bhumi,91,81,95,,,
,Madhav,M,12,7,Bhumi,86,92,89,,,
,Sudevi,F,16,10,Bhumi,81,80,87,,,
,Vidya,F,11,6,aayu,88,90,92,,,
,Visakha,F,16,10,aayu,70,87,85,,,
,Vrinda,F,14,8,pruthvi,91,96,98,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Gender,Sum of Final Test,,,,,,,,,
,F,727,,,,,,,,,
,M,611,,,,,,,,,
,,,,,,,,,,,
,Sum of Final Test,Column Labels,,,,,,,,,
,Row Labels,F,M,Grand Total,,,,,,,
,aayu,357,80,437,,,,,,,
,agni,89,187,276,,,,,,,
,Bhumi,87,265,352,,,,,,,
,pruthvi,194,79,273,,,,,,,
,Grand Total,727,611,1338,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Row Labels,Sum of Final Test,,,,,,,,,
,aayu,437,,,,,,,,,
,F,357,,,,,,,,,
,M,80,,,,,,,,,
,agni,276,,,,,,,,,
,F,89,,,,,,,,,
,M,187,,,,,,,,,
,Bhumi,352,,,,,,,,,
,F,87,,,,,,,,,
,M,265,,,,,,,,,
,pruthvi,273,,,,,,,,,
,F,194,,,,,,,,,
,M,79,,,,,,,,,
,,,,,,,,,,,
,Calculate average,,,,,,,,,,
,Gender,Average of Final Test,,,,,,,,,
,F,90.9,,,,,,,,,
,M,87.3,,,,,,,,,
,Grand Total,89.2,,,,,,,,,
,,,,,,,,,,,
,which home has highest scores,,,,,,,,,,
,Home,Gender,Sum of Final Test,,,,,,,,
,aayu,F,357,,,,,,,,
,,M,80,,,,,,,,
,Bhumi,F,87,,,,,,,,
,,M,265,,,,,,,,
,agni,F,89,,,,,,,,
,,M,187,,,,,,,,
,pruthvi,F,194,,,,,,,,
,,M,79,,,,,,,,
,,,,,,,,,,,
,Home,Gender,Sum of Final Test,,,,,,,,
,aayu,F,357,,,,,,,,
,,M,80,,,,,,,,
,Bhumi,F,87,,,,,,,,
,,M,265,,,,,,,,
,agni,F,89,,,,,,,,
,,M,187,,,,,,,,
,pruthvi,F,194,,,,,,,,
,,M,79,,,,,,,,
